№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
150;Верея;Московская область;Центральный;5 368;1371
151;Верхнеуральск;Челябинская область;Уральский;9 459;1734
152;Верхний Тагил;Свердловская область;Уральский;11 843;1716
153;Верхний Уфалей;Челябинская область;Уральский;30 504;1761
154;Верхняя Пышма;Свердловская область;Уральский;58 707;1854
155;Верхняя Салда;Свердловская область;Уральский;46 240;1778
156;Верхняя Тура;Свердловская область;Уральский;9 468;1737
157;Верхотурье;Свердловская область;Уральский;8 815;1597
158;Верхоянск;Якутия;Дальневосточный;1 311;1638
159;Весьегонск;Тверская область;Центральный;7 330;1564
160;Ветлуга;Нижегородская область;Приволжский;8 956;1606
161;Видное;Московская область;Центральный;56 798;1949
162;Вилюйск;Якутия;Дальневосточный;10 233;1634
163;Вилючинск;Камчатский край;Дальневосточный;22 905;1968
164;Вихоревка;Иркутская область;Сибирский;22 528;1957
165;Вичуга;Ивановская область;Центральный;37 609;1925
166;Владивосток;Приморский край;Дальневосточный;592 069;1860
167;Владикавказ;Северная Осетия - Алания;Северо-Кавказский;311 635;1784
168;Владимир;Владимирская область;Центральный;348 256;990
169;Волгоград;Волгоградская область;Южный;1 021 244;1589
170;Волгодонск;Ростовская область;Южный;170 621;1950
171;Волгореченск;Костромская область;Центральный;17 108;1964
172;Волжск;Марий Эл;Приволжский;55 671;16 век
173;Волжский;Волгоградская область;Южный;314 436;1951
174;Вологда;Вологодская область;Северо-Западный;301 642;1147
175;Володарск;Нижегородская область;Приволжский;9 924;1932
176;Волоколамск;Московская область;Центральный;23 386;1135
177;Волосово;Ленинградская область;Северо-Западный;12 162;1870
178;Волхов;Ленинградская область;Северо-Западный;47 344;1918
179;Волчанск;Свердловская область;Уральский;10 008;1956
180;Вольск;Саратовская область;Приволжский;66 520;1780
181;Воркута;Коми;Северо-Западный;70 551;1936
182;Воронеж;Воронежская область;Центральный;889 680;1586
183;Ворсма;Нижегородская область;Приволжский;11 622;16 век
184;Воскресенск;Московская область;Центральный;91 301;1862
185;Воткинск;Удмуртия;Приволжский;100 034;1759
186;Всеволожск;Ленинградская область;Северо-Западный;59 689;1892
187;Вуктыл;Коми;Северо-Западный;12 357;1968
188;Выборг;Ленинградская область;Северо-Западный;80 013;1293
189;Выкса;Нижегородская область;Приволжский;56 196;1757
190;Высоковск;Московская область;Центральный;10 642;1864
191;Высоцк;Ленинградская область;Северо-Западный;1 244;1532
192;Вытегра;Вологодская область;Северо-Западный;10 490;1710
193;Вышний Волочёк;Тверская область;Центральный;52 326;1471
194;Вяземский;Хабаровский край;Дальневосточный;14 556;1894
195;Вязники;Владимирская область;Центральный;41 252;1608
196;Вязьма;Смоленская область;Центральный;57 103;1239
197;Вятские Поляны;Кировская область;Приволжский;35 159;1596
198;Гаврилов Посад;Ивановская область;Центральный;6 434;1434
199;Гаврилов-Ям;Ярославская область;Центральный;17 792;1545
200;Гагарин;Смоленская область;Центральный;31 721;1705
201;Гаджиево;Мурманская область;Северо-Западный;11 089;1957
202;Гай;Оренбургская область;Приволжский;38 302;1959
203;Галич;Костромская область;Центральный;17 346;1159
204;Гатчина;Ленинградская область;Северо-Западный;92 566;1499
205;Гвардейск;Калининградская область;Северо-Западный;13 888;1255
206;Гдов;Псковская область;Северо-Западный;4 379;14 век
207;Геленджик;Краснодарский край;Южный;54 813;1831
208;Георгиевск;Ставропольский край;Северо-Кавказский;72 126;1777
209;Глазов;Удмуртия;Приволжский;95 835;1678
210;Голицыно;Московская область;Центральный;17 447;1872
