№;Город;Регион;Федеральный округ;Население;Основание или первое упоминание
987;Удомля;Тверская область;Центральный;31 048;1478
988;Ужур;Красноярский край;Сибирский;16 079;1760
989;Узловая;Тульская область;Центральный;55 282;1873
990;Улан-Удэ;Бурятия;Сибирский;431 922;1666
991;Ульяновск;Ульяновская область;Приволжский;613 793;1648
992;Унеча;Брянская область;Центральный;26 196;1887
993;Урай;Ханты-Мансийский АО — Югра;Уральский;39 435;1922
994;Урень;Нижегородская область;Приволжский;12 311;1719
995;Уржум;Кировская область;Приволжский;10 213;1584
996;Урус-Мартан;Чечня;Северо-Кавказский;49 071;18 век
997;Урюпинск;Волгоградская область;Южный;41 594;1618
998;Усинск;Коми;Северо-Западный;41 100;1966
999;Усмань;Липецкая область;Центральный;18 752;1645
1000;Усолье-Сибирское;Иркутская область;Сибирский;83 364;1669
1001;Усолье;Пермский край;Приволжский;5 694;1606
1002;Уссурийск;Приморский край;Дальневосточный;157 946;1866
1003;Усть-Джегута;Карачаево-Черкесия;Северо-Кавказский;30 602;1868
1004;Усть-Илимск;Иркутская область;Сибирский;86 591;1966
1005;Усть-Катав;Челябинская область;Уральский;23 586;1758
1006;Усть-Кут;Иркутская область;Сибирский;45 061;1631
1007;Усть-Лабинск;Краснодарский край;Южный;43 268;1794
1008;Устюжна;Вологодская область;Северо-Западный;9 478;1252
1009;Уфа;Башкортостан;Приволжский;1 062 300;1574
1010;Ухта;Коми;Северо-Западный;99 642;1929
1011;Учалы;Башкортостан;Приволжский;37 771;1955
1012;Уяр;Красноярский край;Сибирский;12 666;1760
1013;Фатеж;Курская область;Центральный;5 404;16 век
1014;Феодосия;Крым;Южный;69 786;6 век до н. э.
1015;Фокино;Брянская область;Центральный;13 874;1899
1016;Фокино;Приморский край;Дальневосточный;23 683;1891
1017;Фролово;Волгоградская область;Южный;39 489;1859
1018;Фрязино;Московская область;Центральный;55 449;1584
1019;Фурманов;Ивановская область;Центральный;36 149;1918
1020;Хабаровск;Хабаровский край;Дальневосточный;577 668;1858
1021;Хадыженск;Краснодарский край;Южный;21 580;1864
1022;Ханты-Мансийск;Ханты-Мансийский АО — Югра;Уральский;79 410;1582
1023;Харабали;Астраханская область;Южный;18 209;1789
1024;Харовск;Вологодская область;Северо-Западный;10 078;1903
1025;Хасавюрт;Дагестан;Северо-Кавказский;133 929;1846
1026;Хвалынск;Саратовская область;Приволжский;13 199;1556
1027;Хилок;Забайкальский край;Сибирский;11 530;1895
1028;Химки;Московская область;Центральный;207 125;1850
1029;Холм;Новгородская область;Северо-Западный;3 829;1144
1030;Холмск;Сахалинская область;Дальневосточный;30 936;1870
1031;Хотьково;Московская область;Центральный;21 612;1308
1032;Цивильск;Чувашия;Приволжский;13 478;1589
1033;Цимлянск;Ростовская область;Южный;15 029;1672
1034;Чадан;Тыва;Сибирский;9 037;1873
1035;Чайковский;Пермский край;Приволжский;82 933;1955
1036;Чапаевск;Самарская область;Приволжский;72 689;1909
1037;Чаплыгин;Липецкая область;Центральный;12 656;1638
1038;Чебаркуль;Челябинская область;Уральский;43 405;1736
1039;Чебоксары;Чувашия;Приволжский;447 929;1469
1040;Чегем;Кабардино-Балкария;Северо-Кавказский;17 988;1822
1041;Чекалин;Тульская область;Центральный;994;1565
1042;Челябинск;Челябинская область;Уральский;1 130 273;1736
1043;Чердынь;Пермский край;Приволжский;4 920;1451
1044;Черемхово;Иркутская область;Сибирский;52 650;1772
1045;Черепаново;Новосибирская область;Сибирский;19 346;1912
1046;Череповец;Вологодская область;Северо-Западный;312 311;1777
1047;Черкесск;Карачаево-Черкесия;Северо-Кавказский;121 439;1825
1048;Чёрмоз;Пермский край;Приволжский;4 017;1701
1049;Черноголовка;Московская область;Центральный;20 986;1710
1050;Черногорск;Хакасия;Сибирский;72 117;1936
1051;Чернушка;Пермский край;Приволжский;33 275;1854
1052;Черняховск;Калининградская область;Северо-Западный;40 464;1336
1053;Чехов;Московская область;Центральный;60 677;1175
1054;Чистополь;Татарстан;Приволжский;60 703;18 век
1055;Чита;Забайкальский край;Сибирский;323 964;1653
1056;Чкаловск;Нижегородская область;Приволжский;12 371;12 век
1057;Чудово;Новгородская область;Северо-Западный;16 148;16 век
1058;Чулым;Новосибирская область;Сибирский;11 964;1762
1059;Чусовой;Пермский край;Приволжский;46 740;1878
1060;Чухлома;Костромская область;Центральный;5 209;1381
1061;Шагонар;Тыва;Сибирский;10 958;1888
1062;Шадринск;Курганская область;Уральский;77 744;1662
1063;Шали;Чечня;Северо-Кавказский;47 715;1378 или 1384
1064;Шарыпово;Красноярский край;Сибирский;38 570;18 век
1065;Шарья;Костромская область;Центральный;23 668;1906
1066;Шатура;Московская область;Центральный;32 836;1423
1067;Шахты;Ростовская область;Южный;240 152;1805
1068;Шахунья;Нижегородская область;Приволжский;21 337;1921
1069;Шацк;Рязанская область;Центральный;6 562;1553
1070;Шебекино;Белгородская область;Центральный;44 277;1713
1071;Шелехов;Иркутская область;Сибирский;47 960;1953
1072;Шенкурск;Архангельская область;Северо-Западный;5 702;1137
1073;Шилка;Забайкальский край;Сибирский;13 947;1897
1074;Шимановск;Амурская область;Дальневосточный;19 815;1910
1075;Шиханы;Саратовская область;Приволжский;6 067;1928
1076;Шлиссельбург;Ленинградская область;Северо-Западный;13 305;1323
1077;Шумерля;Чувашия;Приволжский;33 412;1916
1078;Шумиха;Курганская область;Уральский;17 821;1892
1079;Шуя;Ивановская область;Центральный;58 528;1394
1080;Щёкино;Тульская область;Центральный;58 154;1870
1081;Щёлкино;Крым;Южный;11 194;1978
1082;Щёлково;Московская область;Центральный;110 380;16 век
1083;Щигры;Курская область;Центральный;17 043;18 век
1084;Щучье;Курганская область;Уральский;10 971;1750
1085;Электрогорск;Московская область;Центральный;22 120;1912
1086;Электросталь;Московская область;Центральный;155 324;1916
1087;Электроугли;Московская область;Центральный;20 120;1899
1088;Элиста;Калмыкия;Южный;103 728;1865
1089;Энгельс;Саратовская область;Приволжский;202 838;1747
1090;Эртиль;Воронежская область;Центральный;11 387;1897
1091;Югорск;Ханты-Мансийский АО — Югра;Уральский;34 066;1962
1092;Южа;Ивановская область;Центральный;14 170;1628
1093;Южно-Сахалинск;Сахалинская область;Дальневосточный;181 727;1882
1094;Южно-Сухокумск;Дагестан;Северо-Кавказский;10 048;1958
1095;Южноуральск;Челябинская область;Уральский;37 890;1948
1096;Юрга;Кемеровская область;Сибирский;81 536;1886
1097;Юрьев-Польский;Владимирская область;Центральный;19 588;1152
1098;Юрьевец;Ивановская область;Центральный;10 205;1225
1099;Юрюзань;Челябинская область;Уральский;12 568;1758
1100;Юхнов;Калужская область;Центральный;7 056;1410
1101;Ядрин;Чувашия;Приволжский;9 614;1590
1102;Якутск;Якутия;Дальневосточный;269 486;1632
1103;Ялта;Крым;Южный;78 040;1154
1104;Ялуторовск;Тюменская область;Уральский;36 494;1659
1105;Янаул;Башкортостан;Приволжский;26 988;1914
1106;Яранск;Кировская область;Приволжский;17 252;1584
1107;Яровое;Алтайский край;Сибирский;18 085;1943
1108;Ярославль;Ярославская область;Центральный;591 486;1010
1109;Ярцево;Смоленская область;Центральный;47 853;1610
1110;Ясногорск;Тульская область;Центральный;16 804;1578
1111;Ясный;Оренбургская область;Приволжский;16 082;1961
1112;Яхрома;Московская область;Центральный;13 248;1841
